,date,price,year
382,20180302,308.35,2018
383,20180228,312.86,2018
384,20180227,316.83,2018
385,20180226,317.34,2018
386,20180223,316.81,2018
387,20180222,312.17,2018
388,20180221,314.47,2018
389,20180221,314.47,2018
390,20180220,312.83,2018
391,20180219,316.61,2018
392,20180214,314.40,2018
393,20180213,310.87,2018
394,20180212,308.13,2018
395,20180209,304.83,2018
396,20180209,304.83,2018
397,20180208,311.62,2018
398,20180207,310.48,2018
399,20180206,318.01,2018
400,20180205,323.29,2018
401,20180202,327.01,2018
402,20180201,333.36,2018
403,20180201,333.36,2018
404,20180131,333.38,2018
405,20180130,333.40,2018
406,20180129,338.05,2018
407,20180126,335.38,2018
408,20180125,334.08,2018
409,20180124,330.91,2018
410,20180124,330.91,2018
411,20180123,330.93,2018
412,20180122,326.27,2018
413,20180119,329.52,2018
414,20180118,329.13,2018
415,20180117,329.19,2018
416,20180116,330.02,2018
417,20180116,330.02,2018
418,20180115,327.39,2018
419,20180112,326.72,2018
420,20180111,325.67,2018
421,20180110,327.61,2018
422,20180109,330.25,2018
423,20180108,331.28,2018
424,20180108,331.28,2018
425,20180105,328.97,2018
426,20180104,324.58,2018
427,20180103,327.13,2018
428,20180102,326.00,2018
429,20171228,324.74,2017
430,20171227,320.25,2017
431,20171227,320.25,2017
432,20171226,318.89,2017
433,20171222,321.21,2017
434,20171221,319.72,2017
435,20171220,325.79,2017
436,20171219,326.76,2017
437,20171218,326.60,2017
438,20171218,326.60,2017
439,20171215,326.23,2017
440,20171214,324.74,2017
441,20171213,326.18,2017
442,20171212,324.07,2017
443,20171211,325.09,2017
444,20171208,324.68,2017
445,20171208,324.68,2017
446,20171207,323.59,2017
447,20171206,324.52,2017
448,20171205,329.61,2017
449,20171204,328.77,2017
450,20171201,324.78,2017
451,20171130,325.25,2017
452,20171130,325.25,2017
453,20171129,330.68,2017
454,20171128,330.99,2017
455,20171127,329.53,2017
456,20171124,335.44,2017
457,20171123,334.51,2017
458,20171122,335.49,2017
459,20171122,335.49,2017
460,20171121,333.51,2017
461,20171120,332.92,2017
462,20171117,334.18,2017
463,20171116,334.36,2017
464,20171115,332.17,2017
465,20171114,333.62,2017
466,20171114,333.62,2017
467,20171113,334.33,2017
468,20171110,335.96,2017
469,20171109,337.14,2017
470,20171108,337.80,2017
471,20171107,336.76,2017
472,20171106,337.40,2017
473,20171106,337.40,2017
474,20171103,338.83,2017
475,20171102,337.53,2017
476,20171101,338.76,2017
477,20171031,333.57,2017
478,20171030,330.38,2017
479,20171027,329.23,2017
480,20171027,329.23,2017
481,20171026,326.99,2017
482,20171025,329.31,2017
483,20171024,328.96,2017
484,20171023,329.45,2017
485,20171020,328.89,2017
486,20171019,326.47,2017
487,20171019,326.47,2017
488,20171018,328.40,2017
489,20171017,328.51,2017
490,20171016,327.82,2017
491,20171013,327.35,2017
492,20171012,328.11,2017
493,20171011,326.12,2017
494,20171011,326.12,2017
495,20171010,322.49,2017
496,20170929,316.27,2017
497,20170928,313.85,2017
498,20170927,313.82,2017
499,20170926,314.29,2017
500,20170925,316.40,2017
501,20170925,316.40,2017
502,20170922,316.71,2017
503,20170921,318.25,2017
504,20170920,318.48,2017
505,20170919,318.51,2017
506,20170918,318.93,2017
507,20170915,313.69,2017
508,20170915,313.69,2017
509,20170914,312.52,2017
510,20170913,310.00,2017
511,20170912,310.42,2017
512,20170911,309.83,2017
513,20170908,307.43,2017
514,20170907,306.97,2017
515,20170907,306.97,2017
516,20170906,303.18,2017
517,20170905,304.06,2017
518,20170904,304.19,2017
519,20170901,307.78,2017
520,20170831,308.28,2017
521,20170830,309.65,2017
522,20170830,309.65,2017
523,20170829,308.64,2017
524,20170828,309.53,2017
525,20170825,311.21,2017
526,20170824,310.73,2017
527,20170823,309.71,2017
528,20170822,309.34,2017
529,20170822,309.34,2017
530,20170821,308.14,2017
531,20170818,308.39,2017
532,20170817,309.02,2017
533,20170816,307.16,2017
534,20170814,304.93,2017
535,20170811,302.72,2017
536,20170811,302.72,2017
537,20170810,308.37,2017
538,20170809,309.52,2017
539,20170808,313.40,2017
540,20170807,313.96,2017
541,20170804,313.46,2017
542,20170803,312.29,2017
543,20170803,312.29,2017
544,20170802,317.69,2017
545,20170801,317.04,2017
546,20170731,314.60,2017
547,20170728,314.13,2017
548,20170727,320.51,2017
549,20170726,319.46,2017
550,20170726,319.46,2017
551,20170725,320.15,2017
552,20170724,322.01,2017
553,20170721,321.79,2017
554,20170720,320.61,2017
555,20170719,318.91,2017
556,20170718,318.65,2017
557,20170718,318.65,2017
558,20170717,318.52,2017
559,20170714,317.35,2017
560,20170713,316.35,2017
561,20170712,313.58,2017
562,20170711,313.59,2017
563,20170710,311.46,2017
564,20170710,311.46,2017
565,20170707,310.66,2017
566,20170706,311.88,2017
567,20170705,311.77,2017
568,20170704,310.46,2017
569,20170703,312.39,2017
570,20170630,311.76,2017
571,20170630,311.76,2017
572,20170629,312.56,2017
573,20170628,310.84,2017
574,20170627,312.12,2017
575,20170626,311.89,2017
576,20170623,310.26,2017
577,20170622,309.47,2017
578,20170622,309.47,2017
579,20170621,307.52,2017
580,20170620,309.31,2017
581,20170619,308.61,2017
582,20170616,306.79,2017
583,20170615,306.69,2017
584,20170614,307.95,2017
585,20170614,307.95,2017
586,20170613,308.02,2017
587,20170612,306.24,2017
588,20170609,309.38,2017
589,20170608,306.25,2017
590,20170607,305.68,2017
591,20170605,307.33,2017
592,20170605,307.33,2017
593,20170602,307.83,2017
594,20170601,304.03,2017
595,20170531,304.67,2017
596,20170530,304.59,2017
597,20170529,306.52,2017
598,20170526,306.96,2017
599,20170526,306.96,2017
600,20170525,305.22,2017
601,20170524,301.71,2017
602,20170523,301.36,2017
603,20170522,300.63,2017
604,20170519,298.08,2017
605,20170518,298.47,2017
606,20170518,298.47,2017
607,20170517,299.34,2017
608,20170516,299.67,2017
609,20170515,298.87,2017
610,20170512,298.25,2017
611,20170511,299.75,2017
612,20170510,296.19,2017
613,20170510,296.19,2017
614,20170508,299.86,2017
615,20170504,292.47,2017
616,20170502,289.65,2017
617,20170428,287.21,2017
618,20170427,287.34,2017
619,20170426,286.78,2017
620,20170426,286.78,2017
621,20170425,285.41,2017
622,20170424,281.96,2017
623,20170421,280.05,2017
624,20170420,277.76,2017
625,20170419,276.49,2017
626,20170418,278.23,2017
627,20170418,278.23,2017
628,20170417,278.10,2017
629,20170414,277.31,2017
630,20170413,279.12,2017
631,20170412,276.21,2017
632,20170411,275.49,2017
633,20170410,277.21,2017
634,20170410,277.21,2017
635,20170407,279.01,2017
636,20170406,279.47,2017
637,20170405,280.74,2017
638,20170404,280.92,2017
639,20170403,281.60,2017
640,20170331,280.64,2017
641,20170331,280.64,2017
642,20170330,281.66,2017
643,20170329,281.86,2017
644,20170328,281.25,2017
645,20170327,280.36,2017
646,20170324,282.31,2017
647,20170323,282.81,2017
648,20170323,282.81,2017
649,20170322,282.63,2017
650,20170321,283.84,2017
651,20170320,280.75,2017
652,20170317,281.86,2017
653,20170316,280.11,2017
654,20170315,277.89,2017
655,20170315,277.89,2017
656,20170314,277.89,2017
657,20170313,275.41,2017
658,20170310,272.29,2017
659,20170309,271.62,2017
660,20170308,272.29,2017
661,20170307,271.87,2017
662,20170307,271.87,2017
663,20170306,270.41,2017
664,20170303,269.77,2017
665,20170302,272.65,2017
666,20170228,270.06,2017
667,20170227,268.97,2017
668,20170224,270.38,2017
669,20170224,270.38,2017
670,20170223,272.89,2017
671,20170222,272.85,2017
672,20170221,272.11,2017
673,20170220,269.73,2017
674,20170217,268.84,2017
675,20170216,268.93,2017
676,20170216,268.93,2017
677,20170215,268.81,2017
678,20170214,267.90,2017
679,20170213,268.81,2017
680,20170210,268.66,2017
681,20170209,267.69,2017
682,20170208,267.72,2017
683,20170208,267.72,2017
684,20170207,268.97,2017
685,20170206,269.49,2017
686,20170203,268.85,2017
687,20170202,268.49,2017
688,20170201,269.56,2017
689,20170131,268.09,2017
690,20170131,268.09,2017
691,20170126,270.48,2017
692,20170125,268.15,2017
693,20170124,267.30,2017
694,20170123,267.12,2017
695,20170120,266.52,2017
696,20170119,267.70,2017
697,20170119,267.70,2017
698,20170118,267.08,2017
699,20170117,267.37,2017
700,20170116,266.15,2017
701,20170113,267.91,2017
702,20170112,269.95,2017
703,20170111,268.15,2017
704,20170111,268.15,2017
705,20170110,263.73,2017
706,20170109,263.74,2017
707,20170106,263.20,2017
708,20170105,261.98,2017
709,20170104,263.12,2017
710,20170103,262.97,2017
711,20170103,262.97,2017
712,20170102,260.36,2017
713,20161229,260.01,2016
714,20161228,259.70,2016
715,20161227,262.49,2016
716,20161226,261.90,2016
717,20161223,261.61,2016
718,20161223,261.61,2016
719,20161222,261.97,2016
720,20161221,262.10,2016
721,20161220,262.59,2016
722,20161219,261.93,2016
723,20161216,262.56,2016
724,20161215,261.45,2016
725,20161215,261.45,2016
726,20161214,262.00,2016
727,20161213,261.63,2016
728,20161212,260.72,2016
729,20161209,260.91,2016
730,20161208,262.00,2016
731,20161207,256.34,2016
732,20161207,256.34,2016
733,20161206,255.63,2016
734,20161205,252.14,2016
735,20161202,252.88,2016
736,20161201,254.48,2016
737,20161130,254.26,2016
738,20161129,252.91,2016
739,20161129,252.91,2016
740,20161128,252.96,2016
741,20161125,252.26,2016
742,20161124,252.03,2016
743,20161123,253.66,2016
744,20161122,252.37,2016
745,20161121,249.51,2016
746,20161121,249.51,2016
747,20161118,250.21,2016
748,20161117,250.46,2016
749,20161116,250.32,2016
750,20161115,249.20,2016
751,20161114,250.01,2016
752,20161111,251.99,2016
753,20161111,251.99,2016
754,20161110,255.31,2016
755,20161109,249.67,2016
756,20161108,255.26,2016
757,20161107,254.60,2016
758,20161104,252.57,2016
759,20161103,252.90,2016
760,20161103,252.90,2016
761,20161102,252.83,2016
762,20161101,255.99,2016
763,20161031,255.93,2016
764,20161028,256.53,2016
765,20161027,256.66,2016
766,20161026,255.52,2016
767,20161026,255.52,2016
768,20161025,258.57,2016
769,20161024,259.48,2016
770,20161021,257.26,2016
771,20161020,258.41,2016
772,20161019,258.21,2016
773,20161018,257.98,2016
774,20161018,257.98,2016
775,20161017,256.19,2016
776,20161014,255.09,2016
777,20161013,253.93,2016
778,20161012,256.20,2016
779,20161011,256.15,2016
780,20161010,260.31,2016
781,20161010,260.31,2016
782,20161007,260.06,2016
783,20161006,261.13,2016
784,20161005,258.99,2016
785,20161004,259.18,2016
786,20160930,257.49,2016
787,20160929,260.35,2016
788,20160929,260.35,2016
789,20160928,258.21,2016
790,20160927,259.57,2016
791,20160926,257.48,2016
792,20160923,258.37,2016
793,20160922,258.34,2016
794,20160921,256.52,2016
795,20160921,256.52,2016
796,20160920,255.09,2016
797,20160919,253.93,2016
798,20160913,251.77,2016
799,20160912,250.53,2016
800,20160909,257.31,2016
801,20160908,260.86,2016
802,20160908,260.86,2016
803,20160907,260.31,2016
804,20160906,260.93,2016
805,20160905,259.64,2016
806,20160902,256.50,2016
807,20160901,256.03,2016
808,20160831,256.87,2016
809,20160831,256.87,2016
810,20160830,257.49,2016
811,20160829,256.49,2016
812,20160826,256.23,2016
813,20160825,257.26,2016
814,20160824,257.30,2016
815,20160823,258.42,2016
816,20160823,258.42,2016
817,20160822,257.27,2016
818,20160819,258.69,2016
819,20160818,258.11,2016
820,20160817,256.04,2016
821,20160816,256.15,2016
822,20160812,256.17,2016
823,20160812,256.17,2016
824,20160811,256.18,2016
825,20160810,255.43,2016
826,20160809,255.85,2016
827,20160808,254.11,2016
828,20160805,252.36,2016
829,20160804,249.24,2016
830,20160804,249.24,2016
831,20160803,248.65,2016
832,20160802,251.93,2016
833,20160801,253.81,2016
834,20160729,251.48,2016
835,20160728,251.86,2016
836,20160727,252.73,2016
837,20160727,252.73,2016
838,20160726,252.72,2016
839,20160725,250.65,2016
840,20160722,250.04,2016
841,20160721,250.44,2016
842,20160720,250.66,2016
843,20160719,250.97,2016
844,20160719,250.97,2016
845,20160718,251.52,2016
846,20160715,251.02,2016
847,20160714,249.80,2016
848,20160713,249.25,2016
849,20160712,247.14,2016
850,20160711,246.99,2016
851,20160711,246.99,2016
852,20160708,243.43,2016
853,20160707,244.60,2016
854,20160706,241.86,2016
855,20160705,246.91,2016
856,20160704,247.62,2016
857,20160701,246.52,2016
858,20160701,246.52,2016
859,20160630,244.14,2016
860,20160629,242.32,2016
861,20160628,240.08,2016
862,20160627,239.28,2016
863,20160624,239.21,2016
864,20160623,246.31,2016
865,20160623,246.31,2016
866,20160622,246.75,2016
867,20160621,245.34,2016
868,20160620,245.17,2016
869,20160617,241.63,2016
870,20160616,241.61,2016
871,20160615,243.30,2016
872,20160615,243.30,2016
873,20160614,243.35,2016
874,20160613,244.05,2016
875,20160610,248.96,2016
876,20160609,250.19,2016
877,20160608,250.04,2016
878,20160607,247.85,2016
879,20160607,247.85,2016
880,20160603,244.39,2016
881,20160602,244.18,2016
882,20160601,243.58,2016
883,20160531,243.63,2016
884,20160530,241.73,2016
885,20160527,241.85,2016
886,20160527,241.85,2016
887,20160526,240.58,2016
888,20160525,240.91,2016
889,20160524,237.65,2016
890,20160523,239.85,2016
891,20160520,238.74,2016
892,20160519,239.04,2016
893,20160519,239.04,2016
894,20160518,239.82,2016
895,20160517,241.03,2016
896,20160516,240.82,2016
897,20160513,240.60,2016
898,20160512,242.34,2016
899,20160511,243.07,2016
900,20160511,243.07,2016
901,20160510,243.68,2016
902,20160509,242.23,2016
903,20160504,243.31,2016
904,20160503,244.29,2016
905,20160502,243.47,2016
906,20160429,245.20,2016
907,20160429,245.20,2016
908,20160428,246.27,2016
909,20160427,248.69,2016
910,20160426,248.92,2016
911,20160425,248.13,2016
912,20160422,248.32,2016
913,20160421,249.39,2016
914,20160421,249.39,2016
915,20160420,247.26,2016
916,20160419,247.88,2016
917,20160418,248.00,2016
918,20160415,248.53,2016
919,20160414,248.89,2016
920,20160412,243.71,2016
921,20160412,243.71,2016
922,20160411,242.06,2016
923,20160408,241.77,2016
924,20160407,242.29,2016
925,20160406,241.99,2016
926,20160405,240.58,2016
927,20160404,243.05,2016
928,20160404,243.05,2016
929,20160401,242.36,2016
930,20160331,245.86,2016
931,20160330,246.54,2016
932,20160329,245.53,2016
933,20160328,243.95,2016
934,20160325,243.79,2016
935,20160325,243.79,2016
936,20160324,244.08,2016
937,20160323,245.23,2016
938,20160322,245.41,2016
939,20160321,244.28,2016
940,20160318,244.63,2016
941,20160317,244.09,2016
942,20160317,244.09,2016
943,20160316,242.35,2016
944,20160315,241.83,2016
945,20160314,242.15,2016
946,20160311,241.97,2016
947,20160310,241.43,2016
948,20160309,239.13,2016
949,20160309,239.13,2016
950,20160308,238.44,2016
951,20160307,240.21,2016
952,20160304,239.74,2016
953,20160303,240.09,2016
954,20160302,238.63,2016
955,20160229,234.63,2016
956,20160229,234.63,2016
957,20160226,235.22,2016
958,20160225,235.37,2016
959,20160224,234.91,2016
960,20160223,235.03,2016
961,20160222,234.95,2016
962,20160219,235.27,2016
963,20160219,235.27,2016
964,20160218,234.74,2016
965,20160217,231.94,2016
966,20160216,231.52,2016
967,20160215,228.40,2016
968,20160212,224.98,2016
969,20160211,226.70,2016
970,20160211,226.70,2016
971,20160205,233.30,2016
972,20160204,232.91,2016
973,20160203,228.97,2016
974,20160202,231.10,2016
975,20160201,233.67,2016
976,20160129,232.10,2016
977,20160129,232.10,2016
978,20160128,231.51,2016
979,20160127,230.96,2016
980,20160126,227.19,2016
981,20160125,230.21,2016
982,20160122,228.79,2016
983,20160121,223.81,2016
984,20160121,223.81,2016
985,20160120,224.54,2016
986,20160119,230.08,2016
987,20160118,228.59,2016
988,20160115,228.78,2016
